day,month,Temperature, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Class
17,8,42,24,9,0,96,30.3,76.4,15.7,30.4,24,fire
18,8,37,37,14,0,94.3,35.9,86.8,16,35.9,26.3,fire
19,8,35,66,15,0.1,82.7,32.7,96.8,3.3,35.5,7.7,fire
20,8,36,81,15,0,83.7,34.4,107,3.8,38.1,9,fire
21,8,36,71,15,0,86,36.9,117.1,5.1,41.3,12.2,fire
22,8,37,53,14,0,89.5,41.1,127.5,8,45.5,18.1,fire
23,8,36,43,16,0,91.2,46.1,137.7,11.5,50.2,24.5,fire
24,8,35,38,15,0,92.1,51.3,147.7,12.2,54.9,26.9,fire
25,8,34,40,18,0,92.1,56.3,157.5,14.3,59.5,31.1,fire
26,8,33,37,16,0,92.2,61.3,167.2,13.1,64,30.3,fire
27,8,36,54,14,0,91,65.9,177.3,10,68,26.1,fire
28,8,35,56,14,0.4,79.2,37,166,2.1,30.6,6.1,no fire
29,8,35,53,17,0.5,80.2,20.7,149.2,2.7,30.6,5.9,fire
30,8,34,49,15,0,89.2,24.8,159.1,8.1,35.7,16,fire
31,8,30,59,19,0,89.1,27.8,168.2,9.8,39.3,19.4,fire
1,9,29,86,16,0,37.9,0.9,8.2,0.1,1.4,0,no fire
2,9,28,67,19,0,75.4,2.9,16.3,2,4,0.8,no fire
3,9,28,75,16,0,82.2,4.4,24.3,3.3,6,2.5,fire
4,9,30,66,15,0.2,73.5,4.1,26.6,1.5,6,0.7,no fire
5,9,30,58,12,4.1,66.1,4,8.4,1,3.9,0.4,no fire
6,9,34,71,14,6.5,64.5,3.3,9.1,1,3.5,0.4,no fire
7,9,31,62,15,0,83.3,5.8,17.7,3.8,6.4,3.2,fire
8,9,30,88,14,0,82.5,6.6,26.1,3,8.1,2.7,fire
9,9,30,80,15,0,83.1,7.9,34.5,3.5,10,3.7,fire
10,9,29,74,15,1.1,59.5,4.7,8.2,0.8,4.6,0.3,no fire
11,9,30,73,14,0,79.2,6.5,16.6,2.1,6.6,1.2,no fire
12,9,31,72,14,0,84.2,8.3,25.2,3.8,9.1,3.9,fire
13,9,29,49,19,0,88.6,11.5,33.4,9.1,12.4,10.3,fire
14,9,28,81,15,0,84.6,12.6,41.5,4.3,14.3,5.7,fire
15,9,32,51,13,0,88.7,16,50.2,6.9,17.8,9.8,fire
16,9,33,26,13,0,93.9,21.2,59.2,14.2,22.4,19.3,fire
17,9,34,44,12,0,92.5,25.2,63.3,11.2,26.2,17.5,fire
18,9,36,33,13,0.1,90.6,25.8,77.8,9,28.2,15.4,fire
19,9,29,41,8,0.1,83.9,24.9,86,2.7,28.9,5.6,fire
20,9,34,58,13,0.2,79.5,18.7,88,2.1,24.4,3.8,no fire
21,9,35,34,17,0,92.2,23.6,97.3,13.8,29.4,21.6,fire
22,9,33,64,13,0,88.9,26.1,106.3,7.1,32.4,13.7,fire
23,9,35,56,14,0,89,29.4,115.6,7.5,36,15.2,fire
24,9,26,49,6,2,61.3,11.9,28.1,0.6,11.9,0.4,no fire
25,9,28,70,15,0,79.9,13.8,36.1,2.4,14.1,3,no fire
26,9,30,65,14,0,85.4,16,44.5,4.5,16.9,6.5,fire
27,9,28,87,15,4.4,41.1,6.5,8,0.1,6.2,0,no fire
28,9,27,87,29,0.5,45.9,3.5,7.9,0.4,3.4,0.2,no fire
29,9,24,54,18,0.1,79.7,4.3,15.2,1.7,5.1,0.7,no fire
30,9,24,64,15,0.2,67.3,3.8,16.5,1.2,4.8,0.5,no fire
